date,value
1960-10-26,914
1960-10-27,911
1960-10-28,915
1960-10-31,926
1960-11-01,920
1960-11-02,920
1960-11-03,920
1960-11-04,918
1960-11-07,918
1960-11-09,924
1960-11-10,915
1960-11-11,916
1960-11-14,898
1960-11-15,900
1960-11-16,901
1960-11-17,912
1960-11-18,906
1960-11-21,899
1960-11-22,898
1960-11-23,906
1960-11-25,906
1960-11-28,901
1960-11-29,885
1960-11-30,890
1960-12-01,888
1960-12-02,891
1960-12-05,893
1960-12-06,896
1960-12-07,901
1960-12-08,902
1960-12-09,903
1960-12-12,910
1960-12-13,900
1960-12-14,898
1960-12-15,896
1960-12-16,901
1960-12-19,905
1960-12-20,899
1960-12-21,909
1960-12-22,910
1960-12-23,916
1960-12-27,912
1960-12-28,918
1960-12-29,928
1960-12-30,932
1961-01-03,946
1961-01-04,944
1961-01-05,954
1961-01-06,988
1961-01-09,1.004
1961-01-10,997
1961-01-11,998
1961-01-12,1.003
1961-01-13,1.017
1961-01-16,1.053
1961-01-17,1.063
1961-01-18,1.045
1961-01-19,1.039
1961-01-20,1.025
1961-01-23,1.038
1961-01-24,1.055
1961-01-25,1.051
1961-01-26,1.070
1961-01-27,1.068
1961-01-30,1.095
1961-01-31,1.067
1961-02-01,1.098
1961-02-02,1.103
1961-02-03,1.122
1961-02-06,1.150
1961-02-07,1.126
1961-02-08,1.154
1961-02-09,1.160
1961-02-10,1.167
1961-02-13,1.172
1961-02-14,1.180
1961-02-15,1.180
1961-02-16,1.186
1961-02-17,1.168
1961-02-20,1.153
1961-02-21,1.161
1961-02-23,1.195
1961-02-24,1.200
1961-02-27,1.224
1961-02-28,1.220
1961-03-01,1.160
1961-03-02,1.170
1961-03-03,1.184
1961-03-06,1.190
1961-03-07,1.174
1961-03-08,1.170
1961-03-09,1.145
1961-03-10,1.157
1961-03-13,1.117
1961-03-14,1.142
1961-03-15,1.121
1961-03-16,1.133
1961-03-17,1.130
1961-03-20,1.120
1961-03-21,1.122
1961-03-22,1.140
1961-03-23,1.162
1961-03-24,1.161
1961-03-27,1.157
1961-03-28,1.163
1961-03-29,1.140
1961-03-30,1.151
1961-04-03,1.150
1961-04-04,1.161
1961-04-05,1.181
1961-04-06,1.190
1961-04-07,1.178
1961-04-10,1.205
1961-04-11,1.260
1961-04-12,1.237
1961-04-13,1.230
1961-04-14,1.228
1961-04-17,1.181
1961-04-18,1.228
1961-04-19,1.241
1961-04-20,1.230
1961-04-21,1.237
1961-04-24,1.238
1961-04-25,1.278
1961-04-26,1.244
1961-04-27,1.242
1961-04-28,1.247
1961-05-01,1.246
1961-05-02,1.242
1961-05-03,1.230
1961-05-04,1.218
1961-05-05,1.206
1961-05-08,1.197
1961-05-09,1.173
1961-05-10,1.192
1961-05-11,1.190
1961-05-12,1.200
1961-05-15,1.186
1961-05-16,1.182
1961-05-17,1.193
1961-05-18,1.193
1961-05-19,1.185
1961-05-22,1.150
1961-05-23,1.157
1961-05-24,1.153
1961-05-25,1.155
1961-05-26,1.130
1961-05-29,1.138
1961-05-31,1.162
1961-06-01,1.159
1961-06-02,1.160
1961-06-05,1.169
1961-06-06,1.150
1961-06-07,1.157
