Date,Price,Open,High,Low,Vol.,Change %
03/11/2025,302.00,302.20,304.35,301.25,49.33K,-0.10%
03/10/2025,302.30,305.00,307.50,302.00,64.00K,-0.69%
03/07/2025,304.40,304.80,306.40,301.90,70.27K,-0.16%
03/06/2025,304.90,300.50,307.60,300.50,93.73K,1.70%
03/05/2025,299.80,295.00,300.40,294.20,74.34K,2.15%
03/04/2025,293.50,297.00,297.60,291.30,83.73K,-1.51%
03/03/2025,298.00,300.30,302.00,296.90,64.04K,-0.73%
02/28/2025,300.20,300.50,301.60,296.70,66.44K,0.00%
02/27/2025,300.20,302.50,305.00,299.60,87.70K,-0.76%
02/26/2025,302.50,302.90,305.10,300.70,84.69K,-0.17%
02/25/2025,303.00,301.10,303.60,298.10,93.84K,0.70%
02/24/2025,300.90,303.50,305.50,300.70,69.55K,-0.99%
02/21/2025,303.90,304.10,305.80,302.10,72.56K,-0.23%
02/20/2025,304.60,303.10,305.80,301.60,67.27K,0.49%
02/19/2025,303.10,302.10,306.20,300.30,67.24K,0.33%
02/18/2025,302.10,303.50,306.20,301.50,70.96K,2.10%
02/14/2025,295.90,292.70,300.50,292.10,78.05K,1.09%
02/13/2025,292.70,294.00,296.20,291.60,74.03K,-0.48%
02/12/2025,294.10,296.90,298.00,293.40,81.74K,-0.84%
02/11/2025,296.60,300.50,302.90,296.40,79.90K,-1.30%
02/10/2025,300.50,301.00,302.80,299.20,66.33K,-0.30%
02/07/2025,301.40,306.00,307.00,300.50,69.85K,-1.63%
02/06/2025,306.40,308.30,310.50,303.30,72.84K,-0.62%
02/05/2025,308.30,313.80,314.70,306.90,66.92K,-1.82%
02/04/2025,314.00,304.00,314.90,304.00,88.95K,3.39%
02/03/2025,303.70,298.60,304.20,295.30,85.35K,0.86%
01/31/2025,301.10,304.00,306.50,299.00,81.29K,-1.18%
01/30/2025,304.70,310.10,310.30,303.70,60.10K,-1.65%
01/29/2025,309.80,302.00,310.80,301.60,73.02K,2.72%
01/28/2025,301.60,301.00,303.90,298.60,72.04K,0.27%
01/27/2025,300.80,302.50,303.50,298.90,64.22K,-1.34%
01/24/2025,304.90,309.50,311.10,303.50,105.77K,-3.30%
01/23/2025,315.30,315.70,319.00,313.00,75.89K,-0.16%
01/22/2025,315.80,311.00,318.50,307.50,101.64K,1.54%
01/21/2025,311.00,299.00,311.40,299.00,96.83K,4.64%
01/17/2025,297.20,295.50,299.30,294.10,64.78K,0.95%
01/16/2025,294.40,301.80,302.00,293.50,86.24K,-2.52%
01/15/2025,302.00,305.50,309.30,301.40,60.60K,1.21%
01/14/2025,298.40,298.40,298.40,298.40,0.02K,-0.60%
01/13/2025,300.20,296.70,298.40,296.70,0.06K,0.64%
01/10/2025,298.30,298.80,305.00,295.10,104.37K,-0.33%
01/09/2025,299.30,301.00,302.00,298.10,59.19K,-0.50%
01/08/2025,300.80,303.50,303.70,298.30,72.69K,-0.89%
01/07/2025,303.50,307.10,307.30,300.10,96.26K,-1.24%
01/06/2025,307.30,310.00,314.40,306.30,68.75K,-0.42%
01/03/2025,308.60,319.00,320.40,306.20,88.72K,-3.53%
01/02/2025,319.90,317.50,321.60,314.90,83.07K,0.95%
12/31/2024,316.90,312.00,318.30,312.00,70.00K,1.64%
12/30/2024,311.80,312.00,317.70,310.00,85.55K,0.42%
12/27/2024,310.50,315.20,315.60,310.10,110.02K,-1.40%
12/26/2024,314.90,304.60,315.40,303.40,122.33K,4.41%
12/24/2024,301.60,298.20,302.30,297.10,45.34K,1.21%
12/23/2024,298.00,303.00,306.60,297.60,97.65K,-1.39%
12/20/2024,302.20,290.80,303.00,290.10,103.26K,3.85%
12/19/2024,291.00,286.10,291.90,285.10,74.49K,1.71%
12/18/2024,286.10,294.00,294.00,285.90,72.01K,-2.55%
12/17/2024,293.60,293.40,295.00,290.60,58.06K,0.07%
12/16/2024,293.40,292.90,297.50,292.90,66.44K,2.52%
12/13/2024,286.20,289.50,289.70,285.50,59.69K,-1.14%
12/12/2024,289.50,291.10,292.00,287.60,72.50K,-0.55%
12/11/2024,291.10,291.90,293.10,290.20,86.22K,-0.31%
12/10/2024,292.00,289.10,293.90,288.60,81.96K,0.83%
12/09/2024,289.60,287.40,293.20,287.40,69.94K,0.77%
12/06/2024,287.40,291.00,291.00,285.60,72.80K,-1.27%
12/05/2024,291.10,292.00,293.00,290.20,51.40K,-0.27%
12/04/2024,291.90,290.10,293.00,288.90,56.29K,0.52%
12/03/2024,290.40,287.90,292.70,287.90,74.86K,0.87%
12/02/2024,287.90,292.20,293.70,287.10,76.19K,-1.37%
11/29/2024,291.90,294.50,295.00,290.60,52.18K,-1.18%
11/27/2024,295.40,291.40,298.60,291.10,91.24K,1.37%
11/26/2024,291.40,295.00,295.70,290.60,103.97K,-1.52%
11/25/2024,295.90,291.60,299.50,291.60,93.98K,1.51%
11/22/2024,291.50,289.90,292.30,288.90,70.86K,0.73%
11/21/2024,289.40,291.70,292.70,288.70,53.02K,-0.65%
11/20/2024,291.30,290.70,292.70,288.90,57.67K,0.31%
11/19/2024,290.40,292.10,294.70,289.50,62.54K,-0.58%
11/18/2024,292.10,291.50,293.30,289.20,58.05K,0.45%
11/15/2024,290.80,290.00,291.40,287.00,62.46K,0.59%
11/14/2024,289.10,294.00,294.00,287.90,60.67K,-1.67%
11/13/2024,294.00,295.20,296.30,292.20,50.80K,-0.41%
11/12/2024,295.20,297.30,298.80,293.80,55.52K,-0.64%
11/11/2024,297.10,299.00,303.40,296.50,41.57K,-0.34%
11/08/2024,298.10,300.50,304.50,297.10,59.63K,-0.70%
11/07/2024,300.20,299.00,303.70,296.40,42.85K,0.40%
11/06/2024,299.00,300.30,300.30,294.50,33.86K,-0.53%
11/05/2024,300.60,300.20,301.70,298.60,37.39K,0.13%
